time,base_heading,distance_ball_base,distance_ball_hand
1.0580,0.8300,1.0632,0.0000
1.0590,0.8300,1.0591,0.0000
1.0600,0.8300,1.0551,0.0000
1.0610,0.8300,1.1719,0.0000
1.0620,0.8300,1.1681,0.0000
1.0630,0.8300,1.1650,0.0000
1.0640,0.8300,1.1623,0.0000
1.0650,0.8300,1.1601,0.0000
1.0660,0.8300,1.0400,0.0000
1.0670,0.8300,1.0378,0.0000
1.0680,0.8300,1.0354,0.0000
1.0690,0.8300,1.0327,0.0000
1.0700,0.8300,1.0298,0.0000
1.0710,0.8300,1.0268,0.0000
1.0720,0.8300,1.0237,0.0000
1.0730,0.8300,1.0205,0.0000
1.0740,0.8300,1.0172,0.0000
1.0750,0.8300,1.0139,0.0000
1.0760,0.8300,1.0105,0.0000
1.0770,0.8300,1.0071,0.0000
1.0780,0.8300,1.0036,0.0000
1.0790,0.8300,1.0001,0.0000
1.0800,0.8300,0.9967,0.0000
1.0810,0.8300,1.0442,0.0000
1.0820,0.8300,1.0408,0.0000
1.0830,0.8300,1.0377,0.0000
1.0840,0.8300,1.0348,0.0000
1.0850,0.8300,1.0321,0.0000
1.0860,0.8300,1.0295,0.0000
1.0870,0.8300,1.0271,0.0000
1.0880,0.8300,1.0247,0.0000
1.0890,0.8300,1.0225,0.0000
1.0900,0.8300,1.0203,0.0000
1.0910,0.8300,0.9696,0.0000
1.0920,0.8300,0.9676,0.0000
1.0930,0.8300,0.9655,0.0000
1.0940,0.8300,0.9635,0.0000
1.0950,0.8300,0.9613,0.0000
1.0960,0.8300,0.9592,0.0000
1.0970,0.8300,0.9571,0.0000
1.0980,0.8300,0.9550,0.0000
1.0990,0.8300,0.9530,0.0000
1.1000,0.8300,0.9509,0.0000
1.1010,0.8300,0.9491,0.0000
1.1020,0.8300,0.9471,0.0000
1.1030,0.8300,0.9452,0.0000
1.1040,0.8300,0.9433,0.0000
1.1050,0.8300,0.9415,0.0000
1.1060,0.8300,0.9397,0.0000
1.1070,0.8300,0.9379,0.0000
1.1080,0.8300,0.9361,0.0000
1.1090,0.8300,0.9344,0.0000
1.1100,0.8300,0.9327,0.0000
1.1110,0.8300,0.8529,0.0000
1.1120,0.8300,0.8508,0.0000
1.1130,0.8300,0.8485,0.0000
1.1140,0.8300,0.8458,0.0000
1.1150,0.8300,0.8430,0.0000
1.1160,0.8300,0.8761,0.0000
1.1170,0.8300,0.8730,0.0000
1.1180,0.8300,0.8699,0.0000
